Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C15, C16, C19, C20, C23, C24, C27, C30, C37, C38, C39, C40, C43",C_0805,16,22n,C77069
"C13, C52, C6, C7, C9",C_0603,5,10uF,C96446
"C14, C17, C22, C25, C26, C29, C31, C32, C33, C34, C35, C36, C41, C42",C_0805,14,10uF,C440198
"C18, C21, C28",C_0805,3,100nF,C28233
"C2, C44, C45, C46, C47, C48, C49, C50, C51, C8",C_0402,10,100nF,C307331
"C202, C203, C204, C205, C206, C209, C210, C211, C212",C_0805,9,1uF,C28323
"C207, C208",C_0805,2,12pF,C1792
"C3, C4",0402,2,15p,
"D201, D202",SOT-23,2,BAS70-06,C22466364
D203,SOT-23,1,MMBD1503A,
D302,Texas_USON-6_1x1.45mm_P0.5mm_SMD,1,PRTR5V0U2X,C2937001
IN_N201,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,IN_N,
IN_P201,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,IN_P,
IN_P202,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,5V,
IN_P203,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,7V,
IN_P204,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,9V,
IN_P205,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,3V3,
IN_P206,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,~{OVLD},
IN_P207,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,5V_USB,
IN_P208,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,5VREF,
IN_P209,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,REFP,
IN_P210,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,GND_USB,
"J10, J11, J20, J21, J5",stiftenleiste_bruecke,5,Conn_01x02_Socket,
J301,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160403
L1,L_pol_2016,1,3.3u,C42411119
M201,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,M,
"Q201, Q202",SOT-23,2,CPH3910,C480726
"R1, R16, R201, R203, R212, R213, R215, R7, R8",R_0805,9,1kΩ,C110774
"R11, R12",R_0805,2,27,C17594
"R13, R206, R207, R209, R211, R214, R216",R_0805,7,47kΩ,C17713
"R14, R204, R208, R210",R_0805,4,27Ω,C17594
"R15, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R228",R_0402,13,22Ω,C25092
"R2, R3, R41, R42, R43",0805,5,200,C218416
"R202, R4",R_0805,2,10kΩ,C17414
R205,R_0805,1,200, C218416
"R302, R303",0402,2,5.1K,
R5,0805,1,4k,C2828855
"SW1, SW2",SW_TS-1187A-B-A-B,2,SW_MEC_5E,C318884
TP201,distanzbolz_3,1,Bolzen1,
TP202,distanzbolz_3,1,Bolzen2,
TP203,distanzbolz_3,1,Bolzen3,
TP204,distanzbolz_3,1,Bolzen4,
U1,Analog_LCC-8_5x5mm_P1.27mm,1,REF7050,C6760318
"U201, U202, U208",LFCSP-8-1EP_3x3mm_P0.5mm_EP1.6x2.34mm_ThermalVias,3,ADA4523-1,C4371130
U203,TSSOP-14_4.4x5mm_P0.65mm,1,OPA4990,C2862600
U205,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM3160,C284149
"U206, U209, U210",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,3,LM393,C7955
U207,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,ADS127L21IRUKR,C20606868
U211,SOT-223-3_TabPin2,1,AMS1117,C6186
U213,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVS,C179173
U4,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
